83380,Cubana Café,"47 Rue Vavin, Paris, France",restaurant,Paris,48.842666,2.328908,4,ChIJGY8ItVBawokR5vS30hcTjAU,1000,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1000,2300
83381,La Cantine du Faubourg,"105 Rue du Faubourg Saint-Honoré, Paris, France",restaurant,Paris,48.872535,2.311238,3,ChIJFxbqjJJCXz4Raab_P0depmo,1200,1500,1200,1500,1200,1500,1200,1500,1200,1500,1200,1600,1200,1500
83382,La Closerie des Lilas,"171 Boulevard du Montparnasse, Paris, France",restaurant,Paris,48.840033,2.335992,4,ChIJD0MBxsZx5kcREfMy9IsrUTo,1900,2300,1900,2300,1900,2300,1900,2300,1900,2300,1900,2300,1900,2300
83386,Au bon coin,"Rue des Cloys, Paris, France",restaurant,Paris,48.893015,2.337753,3,ChIJhbfF7BSNGGARUb9S5WpDve8,1800,2300,N/A,N/A,1800,2300,1800,2300,1800,2300,1800,2300,1800,2300
83398,Le P'tit Troquet,"28 Rue de l'Exposition, Paris, France",restaurant,Paris,48.857126,2.303244,3,ChIJr2W1Yt9v5kcR9hWinrxgCi0,1200,1700,1200,1700,1200,1400,1200,1400,1200,1400,1800,2100,1800,2100
83403,Café philo des Phares,"7 Place de la Bastille, Paris, France",restaurant,Paris,48.853657,2.368273,3,ChIJeegWVABy5kcRUjWmwhazQas,0700,0100,0700,0100,0700,0100,0700,0100,0700,0100,0700,0100,0700,0100
83405,Senderens,"9 Place de la Madeleine, Paris, France",restaurant,Paris,48.869668,2.323275,4,ChIJrf6XLDNu5kcRgypP8GERVqw,N/A,N/A,N/A,N/A,1930,2215,1930,2215,1930,2215,1930,2215,1930,2215
83407,Le Grand B,"24 Boulevard des Italiens, Paris, France",restaurant,Paris,48.871505,2.336293,3,ChIJ_0H_o4aXB0ERrXzF0cYESL4,N/A,N/A,1200,1500,1200,1500,1200,1500,1200,1500,1200,1500,N/A,N/A
83413,Bread and Roses,"62 Rue Madame, Paris, France",restaurant,Paris,48.846989,2.331476,3,ChIJ8TAissOPREgRLSfjQBttMaA,N/A,N/A,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,N/A,N/A
83418,The Bombardier,"2 Place du Panthéon, Paris 5e arrondissement, France",restaurant,Paris,48.84682,2.34762,3,ChIJFdMXPeZx5kcRH0WDxmuFT2s,1700,0000,1700,0000,1700,0000,1700,0000,1700,0000,1200,0100,1200,0100
83429,Café Chéri(e),"44 Boulevard de la Villette, Paris, France",restaurant,Paris,48.874059,2.375265,4,ChIJo-9tKtpxATQRMNhfMvZxD5I,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200
83432,Café de L'Alma,"5 Avenue Rapp, Paris, France",restaurant,Paris,48.86092,2.301418,3,ChIJ88XYQd5v5kcRcjWhCsyXDas,0930,0000,0730,0000,0730,0000,0730,0000,0730,0000,0730,0000,0930,0000
83433,Le Recrutement Cafe,"36 Boulevard de la Tour-Maubourg, Paris, France",restaurant,Paris,48.859986,2.309985,3,ChIJn2wJz9lv5kcRlZLbCAIOPRg,0800,0200,0700,0200,0700,0200,0700,0200,0700,0200,0700,0200,0800,0200
83437,Tsé,"78 Rue d'Auteuil, Paris, France",restaurant,Paris,48.8483,2.260085,3,ChIJO9BkdLtS8DUR-lFQuCOQaZI,0700,1100,N/A,N/A,0700,1100,0700,1100,0700,1100,0700,1100,0700,1100
83440,Express Bar,"31 Rue Saint-Maur, Paris, France",restaurant,Paris,48.861005,2.381113,3,ChIJq3JAYf7WZUcR4VIecP5E2JQ,N/A,N/A,0800,1900,0800,1900,0800,1900,0800,1900,0800,1900,0900,1900
83441,Café Divan,"60 Rue de la Roquette, Paris, France",restaurant,Paris,48.855252,2.373887,4,ChIJxxUUqTC2t4kR7AO-ZyGupW0,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
83442,Chez le Libanais,"35 Rue Saint-André des Arts, Paris, France",restaurant,Paris,48.853236,2.341657,4,ChIJkTahVt5x5kcRjJQVcVcCTCk,1100,1845,1100,1845,1100,1845,1100,1845,1100,1845,1100,1845,1100,1845
83444,Alimentation Générale,"64 Rue Jean-Pierre Timbaud, Paris, France",restaurant,Paris,48.866847,2.374374,3,ChIJUTymveRt5kcR4Hhikq-gFxs,N/A,N/A,N/A,N/A,N/A,N/A,1900,0200,1900,0200,1900,0500,1900,0500
83621,Cannibale Café,"93 Rue Jean-Pierre Timbaud, Paris, France",restaurant,Paris,48.868421,2.379378,3,ChIJRTt_fu9t5kcRkLkxRjl7IDQ,1830,2200,1830,2200,1830,2200,1830,2200,1830,2200,1830,2200,1830,2200
83624,Le Bistrot du Peintre,"116 Avenue Ledru Rollin, Paris, France",restaurant,Paris,48.853166,2.377378,4,ChIJ2ZYOZAty5kcRVaUKv_HxrWI,N/A,N/A,0800,1500,0800,1500,0800,1500,0800,1900,0800,1900,N/A,N/A
83627,Le Temps des Cerises,"18-20 Rue de la Butte aux Cailles, Paris, France",restaurant,Paris,48.827882,2.350589,3,ChIJ6SjFDxfclEcRfpteNiJXGks,N/A,N/A,0930,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1800
83628,Ciel de Paris,"33 Avenue du Maine, Paris, France",restaurant,Paris,48.84219,2.321649,3,ChIJUSQArsxx5kcRkXkXnCMYUlU,1800,2030,N/A,N/A,N/A,N/A,1800,2030,1800,2030,1800,2030,1800,2030
83630,L'Avant-Gout,"26 Rue Bobillot, Paris, France",restaurant,Paris,48.828934,2.353257,4,ChIJ4zK8QYlspw0RxztVOQ38nRM,1100,0000,1100,0000,1100,0000,1100,0000,1100,0000,1100,0000,1100,0000
83632,Les Cailloux,"58 Rue des cinq Diamants, Paris, France",restaurant,Paris,48.827686,2.349332,4,ChIJdaz56JBx5kcRODTkablC1Tc,1200,2100,1800,2100,1800,2100,1800,2100,1800,2100,1800,2100,1200,2100
83633,Le Montparnasse 1900,"59 Boulevard du Montparnasse, Paris, France",restaurant,Paris,48.844241,2.323197,3,ChIJ3RzfHs1x5kcRpBYaFaRZw5k,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100
83636,Café Thoumieux,"4 Rue de la Comète, Paris, France",restaurant,Paris,48.85957,2.308843,5,ChIJmf7lrNlv5kcR7TiGblf1J4w,N/A,N/A,N/A,N/A,N/A,N/A,0000,0000,N/A,N/A,N/A,N/A,N/A,N/A
83637,Le Relais d'Auteuil,"31 Boulevard Murat, Paris, France",restaurant,Paris,48.844924,2.257467,5,ChIJCXxlCJKZ5kcRrpAkcbErEFc,N/A,N/A,1200,1400,1200,1400,1200,1400,1200,1400,1200,1400,N/A,N/A
