217405,Mairie du 18,"1, place Jules Joffrin, Paris, 75018, France",attraction,Paris,48.892433756366,2.3447511060347,ChIJRZA9il5u5kcR-potLEk7_Rg,N/A,N/A,0830,1700,0830,1700,0830,1700,0830,1930,0830,1700,0900,1230,4
217412,The Great Canadian Pub,"25 Quai Grands Augustins, Paris, 75006, France",attraction,Paris,48.854350320911,2.3431280649092,ChIJL7rqyN9x5kcRk59hv935rB0,1200,0200,1200,0200,1200,0200,1200,0200,1200,0200,1100,0200,1100,0200,4
217414,Café de la place (Franz liszt 75010),"7, place Franz Liszt, Paris, 75010, France",attraction,Paris,48.8780088723,2.35156148918,ChIJTUwXYGtu5kcR8za5MuoEKrA,0800,0100,0800,0100,0800,0100,0800,0100,0800,0100,0800,0100,0800,0100,4
217415,Le Memphis,"3 impasse Bonne Nouvelle, Paris, 75010, France",attraction,Paris,48.870260307057,2.3505732964416,ChIJ224MsBZu5kcRC7H71YD9gnI,1430,1930,1430,1900,1430,1900,1430,1900,1430,1900,2359,0630,2359,0630,3
217421,Le Georges,"Centre national d'art et culture Georges Pompidou, Rue Beaubourg, Paris, 75004, France",attraction,Paris,48.859916027624,2.3519209489339,ChIJD3IF1elv5kcRXNjbG86rzcE,1815,2030,1815,2030,1815,2030,1815,2030,1815,2030,1815,2030,1815,2030,5
217422,Palais de Justice de Paris,"4 boulevard du Palais, Paris, 75006, France",attraction,Paris,48.855430921239,2.3457807107881,ChIJk3npIuBx5kcRkqWnNdgP57Y,N/A,N/A,0830,1830,0830,1830,0830,1830,0830,1830,0830,1830,N/A,N/A,4
217426,KUBE Hotel - Paris,"1-5 passage ruelle, Paris, 75018, France",attraction,Paris,48.886709043975,2.3589291499007,ChIJ7c-wr3pu5kcRO0M_i0Adkx8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
217434,Maison Blanche,"Paris, , France",attraction,Paris,48.822,2.359,ChIJ7chGe8gUw4gRDrtr7vHNP5A,1730,2130,N/A,N/A,1730,0930,1730,2130,1730,2130,1730,2130,1730,2130,5
217438,Favela Chic - surofficial,"18 rue du Faubourg du Temple, Paris, 75011, France",attraction,Paris,48.86802660598,2.3664282157438,ChIJb4hWSghu5kcR-iZK10B8grA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1930,0200,1930,0400,1930,0400,4
217440,Le Paname - Art Café,"14, rue de la fontaine au Roi, Paris, 75011, France",attraction,Paris,48.868371355282,2.3698613483323,ChIJ7QMpWeJt5kcR7mpMPR5oiok,1100,2130,1100,2130,1100,2130,1100,2130,1100,2130,1100,2130,1100,2130,4
217448,Danny Hills,"84 avenue Secrétan , Paris, 75019 , France",attraction,Paris,48.8789489056,2.37826234326,ChIJS01BcFKTwoARsPt_dzozHyY,N/A,N/A,0900,1500,0900,1500,0900,1500,0900,1500,0900,1500,N/A,N/A,4
217450,Café Chéri,"44, boulevard de la Villette, Paris, 75019, France",attraction,Paris,48.873949127943,2.3751624238934,ChIJo-9tKtpxATQRMNhfMvZxD5I,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,3
217454,La Ménagerie de Verre,"12/14 rue Lèchevin, Paris, 75011, France",attraction,Paris,48.8632712621,2.3766365508,ChIJ61KF9_pt5kcRu5ojqzrFBCE,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,4
217455,LES DiSQUAiRES,"4-6 rue des taillandiers, Paris, 75011, France",attraction,Paris,48.853802727274,2.3754935314537,ChIJd5uGpgdy5kcRBVjgsQvIVFU,N/A,N/A,0000,0200,1700,0200,1700,0200,1700,0200,1700,0500,1700,0500,4
217459,Chez Lili et Marcel,"1 Quai d'Austerlitz, Paris, 75013, France",attraction,Paris,48.837422402601,2.3735583558044,ChIJKceE-xhy5kcRCulqReHFCuM,0700,0130,0600,0130,0600,0130,0600,0130,0600,0130,0600,0130,0700,0130,4
217460,The Frog And British Library,"114 ave de France, Paris, 75013, France",attraction,Paris,48.830745567059,2.3766469224385,ChIJh2CBrzxy5kcRQiHJF_DvnKw,1200,1900,1700,1900,1700,1900,1700,1900,1700,1900,1700,1900,1200,1900,4
217466,Peña Festayre,"32 Avenue Corentin Cariou, Paris, France",attraction,Paris,48.89706,2.386472,ChIJKxIrEjNs5kcR_IxMLXZN0Lo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1800,0600,1800,0000,4
217475,Le 20eme Art,"46 rue des Vignoles, Paris, 75020, France",attraction,Paris,48.8544087057,2.40049827901,ChIJu21MHXhy5kcRqAM55gmwi0Q,N/A,N/A,1030,0100,1030,0100,1030,0100,1030,0100,1030,0100,1030,0100,4
217480,Mama Shelter Paris,"109, rue de Bagnolet, Paris, 75020, France",attraction,Paris,48.859764322523,2.4025650336171,ChIJkcvdcIZt5kcRZ4FcBh5cHbg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
217481,Castello di Vincennes,"Paris, , France",attraction,Paris,48.842777777778,2.4358333333333,ChIJaYH447xy5kcRx2c0N1QmAt0,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700,4
217482,Parc floral de Paris,"Paris, , France",attraction,Paris,48.838611111111,2.4425,ChIJheWXPrxy5kcRtbzSi_O_dCk,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1900,4
217488,Hôtel Matignon,"Paris, , France",attraction,Paris,48.854444444444,2.3208333333333,ChIJ5xbH6Cpw5kcRk40boIcmzQ4,0900,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1700,3
217490,Hôtel Lutetia,"Paris, , France",attraction,Paris,48.851084,2.32717,ChIJeZFhedFx5kcRMsoJLvDQUrM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
217492,Fontaine Saint-Michel,"Paris, , France",attraction,Paris,48.853144444444,2.3437,ChIJM79fJd5x5kcRxEjMn9CzSLs,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,4
217493,"Eiffel Tower Paris, France","Paris, 75007, France",attraction,Paris,48.831923774516,2.3399968488204,ChIJLU7jZClu5kcR4PcOOO6p3I0,0900,0045,0900,0045,0900,0045,0900,0045,0900,0045,0900,0045,0900,0045,5
217494,Hôpital Lariboisière,"Paris, , France",attraction,Paris,48.8831,2.35306,ChIJF_9xT2lu5kcRrjESyBR_Olw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
217495,Porte Saint-Denis,"Paris, , France",attraction,Paris,48.869722222222,2.3526361111111,ChIJPWASFRFu5kcRO_9wvkYEoVs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
217499,Porte Dorée,"Paris, , France",attraction,Paris,48.833975,2.4041583333333,ChIJVTaRj2By5kcRkTTztiunhac,1000,1900,N/A,N/A,1000,1730,1000,1730,1000,1730,1000,1730,1000,1900,4
217500,Château de Vincennes,"Avenue de Paris, Vincennes, 94300, France",attraction,Paris,48.8466776962,2.41054119511,ChIJaYH447xy5kcRx2c0N1QmAt0,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700,4
217504,Olympia (teatro),"Paris, , France",attraction,Paris,48.870151,2.328495,ChIJxRADcUxPYA0RNUU8YJW_JZI,1700,2000,N/A,N/A,1700,2000,1700,2000,1700,2000,1700,2000,1700,2100,4
217507,Champs Elysées Arc De Triomphe,"Rue de la Jussienne, Paris, , France",attraction,Paris,48.866370894432,2.3181883752462,ChIJjx37cOxv5kcRPWQuEW5ntdk,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,5
